"DATE","AVEMAX"
20041201,52
20050101,47
20050201,64
20050301,96
20050401,152
20050501,200
20050601,234
20050701,323
20050801,294
20050901,245
20051001,173
20051101,96
20051201,37
20060101,52
20060201,49
20060301,86
20060401,171
20060501,220
20060601,277
20060701,325
20060801,294
20060901,224
20061001,150
20061101,101
20061201,32
20070201,72
20070301,130
20070401,155
20070501,229
20070601,283
20070701,331
20070801,311
20070901,244
20071001,171
20071101,115
20071201,15
20080101,9
20080201,41
20080301,84
20080501,200
20080601,254
20080701,315
20080801,306
20080901,246
20081001,176
20081101,108
20081201,30
20090101,40
20090201,66
20090301,94
20090401,140
20090501,214
20090601,235
20090701,312
20090801,295
20090901,269
20091001,136
20091101,107
20091201,-3
20100101,42
20100301,106
20100401,125
20100501,165
20100601,250
20100701,305
20100801,296
20100901,265
20101001,175
20101101,71
20101201,46
20110101,17
20110201,46
20110301,98
20110401,117
20110501,164
20110601,251
20110701,302
20110801,310
20110901,260
20111001,173
20111101,89
20111201,25
20120101,61
20120201,55
20120301,131
20120401,182
20120601,283
20120701,315
20120801,316
20120901,259
20121001,182
20121101,122
20121201,40
20130101,-22
20130201,31
19900601,290
19900701,326
19900801,307
19900901,278
19901001,188
19901101,115
19901201,5
19910101,23
19910201,105
19910301,108
19910401,145
19910801,312
19910901,246
19911001,188
19920201,101
19920401,215
19920601,284
19920701,310
19920801,314
19920901,261
19921001,201
19921101,70
19921201,35
19930101,26
19930201,39
19930301,119
19930401,155
19930501,244
19930601,193
19930701,285
19930801,298
19930901,257
19931001,169
19931101,79
19931201,53
19940101,81
19940201,78
19940301,147
19940401,180
19940501,251
19940601,310
19940701,338
19940801,332
19940901,277
19941001,174
19941101,76
19941201,69
19950101,64
19950201,130
19950301,132
19950501,195
19950601,258
19950701,316
19950801,324
19950901,270
19951001,187
19951101,154
19951201,77
19960101,52
19960201,74
19960301,134
19960401,173
19960501,220
19960601,302
19960701,334
19960801,318
19960901,244
19961001,177
19961101,119
19961201,71
19970101,42
19970201,63
19970301,158
19970401,151
19970501,248
19970601,283
19970701,314
19971101,60
19971201,13
19980101,70
19980201,62
19980301,111
19980401,140
19980501,216
19980601,242
19980701,329
19980901,265
19981001,175
19981101,110
19981201,37
19990101,70
19990201,89
19990301,136
19990401,129
19990501,206
19990601,262
19990701,319
19990801,314
19990901,246
19991001,207
19991101,152
19991201,45
20000101,69
20000201,97
20000301,121
20000401,205
20000501,235
20000601,299
20000701,348
20000801,337
20000901,260
20001001,189
20001101,51
20001201,56
20010101,31
20010201,65
20010301,132
20010401,161
20010501,252
20010601,290
20010701,339
20010801,338
20010901,296
20011001,215
20011101,122
20011201,28
20020101,30
20020201,51
20020301,99
20020401,182
20020501,228
20020601,299
20020701,354
20020801,319
20020901,257
20021001,171
20021101,95
20021201,65
20030101,99
20030201,54
20030301,127
20030401,163
20030501,249
20030601,282
20030701,364
20030801,334
20030901,269
20031001,216
